name or ticker,slug
Bitcoin with ticker BTC is ,bitcoin
Ethereum with ticker ETH is ,ethereum
Tether [on Ethereum] with ticker USDT is ,tether
Tether [on Optimism] with ticker USDT is ,o-tether
Tether [on Polygon] with ticker USDT is ,p-tether
Tether [on Arbitrum] with ticker USDT is ,arb-tether
Tether [on BNB] with ticker USDT is ,bnb-tether
BNB with ticker BNB is ,binance-coin
USD Coin [on Arbitrum] with ticker USDC is ,arb-usd-coin
USD Coin [on Optimism] with ticker USDC is ,o-usd-coin
USD Coin [on BNB] with ticker USDC is ,bnb-usd-coin
USD Coin [on Ethereum] with ticker USDC is ,usd-coin
USD Coin [on Polygon] with ticker USDC is ,p-usd-coin
XRP with ticker XRP is ,xrp
Binance USD [on BNB] with ticker BUSD is ,bnb-binance-usd
Binance USD [on Ethereum] with ticker BUSD is ,binance-usd
Cardano with ticker ADA is ,cardano
Cardano [on BNB] with ticker ADA is ,bnb-cardano
Dogecoin with ticker DOGE is ,dogecoin
Polygon [on Ethereum] with ticker MATIC is ,matic-network
Polygon [on Polygon] with ticker MATIC is ,p-matic-network
Solana with ticker SOL is ,solana
Polkadot with ticker DOT is ,polkadot-new
SHIBA INU with ticker SHIB is ,shiba-inu
Litecoin with ticker LTC is ,litecoin
Avalanche with ticker AVAX is ,avalanche
TRON with ticker TRX is ,tron
Dai [on Optimism] with ticker DAI is ,o-multi-collateral-dai
Dai [on BNB] with ticker DAI is ,bnb-multi-collateral-dai
Dai [on Arbitrum] with ticker DAI is ,arb-multi-collateral-dai
Dai [on Ethereum] with ticker DAI is ,multi-collateral-dai
Dai [on Polygon] with ticker DAI is ,p-multi-collateral-dai
Uniswap [on BNB] with ticker UNI is ,bnb-uniswap
Uniswap [on Polygon] with ticker UNI is ,p-uniswap
Uniswap [on Ethereum] with ticker UNI is ,uniswap
Cosmos with ticker ATOM is ,cosmos
Wrapped Bitcoin with ticker WBTC is ,wrapped-bitcoin
Chainlink [on BNB] with ticker LINK is ,bnb-chainlink
ChainLink [on Optimism] with ticker LINK is ,o-chainlink
ChainLink [on Ethereum] with ticker LINK is ,chainlink
ChainLink [on Arbitrum] with ticker LINK is ,arb-chainlink
ChainLink [on Polygon] with ticker LINK is ,p-chainlink
UNUS SED LEO with ticker LEO is ,unus-sed-leo
Ethereum Classic with ticker ETC is ,ethereum-classic
Monero with ticker XMR is ,monero
Toncoin with ticker TON is ,toncoin
OKB with ticker OKB is ,okb
Bitcoin Cash with ticker BCH is ,bitcoin-cash
Aptos with ticker APT is ,aptos
Stellar with ticker XLM is ,stellar
NEAR Protocol with ticker NEAR is ,near-protocol
ApeCoin with ticker APE is ,apecoin-ape
Cronos with ticker CRO is ,crypto-com-coin
Filecoin with ticker FIL is ,file-coin
Lido DAO Token with ticker LDO is ,lido-dao
Algorand with ticker ALGO is ,algorand
Hedera with ticker HBAR is ,hedera-hashgraph
VeChain with ticker VET is ,vechain
Quant with ticker QNT is ,quant
Internet Computer with ticker ICP is ,internet-computer
The Graph with ticker GRT is ,the-graph
Fantom with ticker FTM is ,fantom
Decentraland with ticker MANA is ,decentraland
The Sandbox with ticker SAND is ,the-sandbox
Flow with ticker FLOW is ,flow
Aave [on Polygon] with ticker AAVE is ,p-aave
Aave [on Ethereum] with ticker AAVE is ,aave
Aave [on BNB] with ticker AAVE is ,bnb-aave
Aave [on Optimism] with ticker AAVE is ,o-aave
BitDAO with ticker BIT is ,bitdao
Axie Infinity with ticker AXS is ,axie-infinity
MultiversX (Elrond) with ticker EGLD is ,elrond-egld
EOS with ticker EOS is ,eos
Theta Network with ticker THETA is ,theta
Tezos with ticker XTZ is ,tezos
Chiliz with ticker CHZ is ,chiliz
Terra Classic with ticker LUNC is ,luna
TrueUSD with ticker TUSD is ,trueusd
Frax Share with ticker FXS is ,frax-share
Huobi Token with ticker HT is ,huobi-token
Paxos Standard with ticker USDP is ,paxos-standard
Curve [on Arbitrum] with ticker CRV is ,arb-curve
Curve [on Ethereum] with ticker CRV is ,curve
KuCoin Token with ticker KCS is ,kucoin-shares
Immutable X with ticker IMX is ,immutable-x
Bitcoin SV with ticker BSV is ,bitcoin-sv
PancakeSwap [on BNB] with ticker CAKE is ,bnb-pancakeswap
Zcash with ticker ZEC is ,zcash
Maker with ticker MKR is ,maker
eCash with ticker XEC is ,ecash
USDD with ticker USDD is ,usdd
BitTorrent (new) with ticker BTT is ,bittorrent-new
Dash with ticker DASH is ,dash
Synthetix [on BNB] with ticker SNX is ,bnb-synthetix-network-token
Synthetix [on Optimism] with ticker SNX is ,o-synthetix-network-token
Synthetix [on Ethereum] with ticker SNX is ,synthetix-network-token
Mina with ticker MINA is ,mina
Optimism with ticker OP is ,o-optimism